Feature 1,Feature 2,Correlation
Rating Cycle 2 Number of Health Revisits,Rating Cycle 3 Number of Health Revisits,0.19
deficiency_tag_919,severity_code_G,0.19
deficiency_tag_690,deficiency_tag_657,0.19
deficiency_tag_580,deficiency_tag_558,0.19
long_stay_quality_rating_5,claims_quality_code_522,-0.19
deficiency_tag_583,deficiency_tag_761,0.19
deficiency_tag_580,deficiency_tag_623,0.19
deficiency_tag_656,severity_code_J,0.19
deficiency_tag_585,health_inspection_rating_1,0.19
deficiency_tag_657,deficiency_tag_688,0.19
health_inspection_rating_3,health_inspection_rating_5,-0.19
deficiency_tag_921,Rating Cycle 1 Health Deficiency Score,0.19
severity_code_C,Rating Cycle 3 Number of Standard Health Deficiencies,0.19
deficiency_tag_610,deficiency_tag_578,0.19
mds_quality_code_430,Rating Cycle 2 Number of Complaint Health Deficiencies,-0.19
deficiency_tag_759,deficiency_tag_725,0.19
deficiency_tag_656,deficiency_tag_583,0.19
Rating Cycle 3 Health Deficiency Score,deficiency_tag_578,0.19
mds_quality_code_419,mds_quality_code_430,-0.19
severity_code_K,deficiency_tag_600,0.19
quality_rating_2,mds_quality_code_451,0.19
deficiency_tag_658,deficiency_tag_759,0.19
deficiency_tag_550,deficiency_tag_919,0.19
deficiency_tag_655,deficiency_tag_758,0.19
deficiency_tag_607,deficiency_tag_758,0.19
deficiency_tag_921,deficiency_tag_690,0.19
severity_code_B,deficiency_tag_867,0.19
mds_quality_code_430,deficiency_tag_692,-0.19
deficiency_tag_600,Rating Cycle 3 Health Revisit Score,0.19
Rating Cycle 3 Number of Complaint Health Deficiencies,mds_quality_code_430,-0.19
severity_code_J,deficiency_tag_684,0.18
deficiency_tag_578,Rating Cycle 3 Total Health Score,0.18
deficiency_tag_758,Rating Cycle 1 Number of Complaint Health Deficiencies,0.18
Rating Cycle 2 Number of Health Revisits,dollars_per_fine_count,0.18
Total Number of Penalties,mds_quality_code_430,-0.18
deficiency_tag_645,deficiency_tag_578,0.18
deficiency_tag_561,deficiency_tag_725,0.18
Rating Cycle 3 Total Number of Health Deficiencies,mds_quality_code_408,0.18
deficiency_tag_755,Total Number of Penalties,0.18
deficiency_tag_727,Total Amount of Fines in Dollars,0.18
deficiency_tag_881,deficiency_tag_684,0.18
health_inspection_rating_5,Rating Cycle 3 Total Health Score,-0.18
deficiency_tag_921,deficiency_tag_609,0.18
mds_quality_code_454,Rating Cycle 3 Total Number of Health Deficiencies,-0.18
deficiency_tag_686,deficiency_tag_881,0.18
deficiency_tag_655,deficiency_tag_623,0.18
deficiency_tag_919,deficiency_tag_842,0.18
deficiency_tag_756,deficiency_tag_812,0.18
Number of Substantiated Complaints,Rating Cycle 1 Health Revisit Score,0.18
deficiency_tag_609,mds_quality_code_472,-0.18
deficiency_tag_760,deficiency_tag_578,0.18
Rating Cycle 2 Number of Health Revisits,deficiency_tag_584,0.18
deficiency_tag_550,deficiency_tag_623,0.18
deficiency_tag_804,deficiency_tag_609,0.18
deficiency_tag_812,deficiency_tag_698,0.18
mds_quality_code_415,severity_code_E,-0.18
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_908,0.18
deficiency_tag_690,Total Number of Penalties,0.18
deficiency_tag_925,health_inspection_rating_1,0.18
deficiency_tag_803,deficiency_tag_908,0.18
Rating Cycle 1 Number of Complaint Health Deficiencies,mds_quality_code_472,-0.18
Rating Cycle 1 Health Deficiency Score,Number of administrators who have left the nursing home,0.18
deficiency_tag_655,Rating Cycle 1 Number of Complaint Health Deficiencies,0.18
dollars_per_fine_count,deficiency_tag_580,0.18
deficiency_tag_550,deficiency_tag_732,0.18
deficiency_tag_625,deficiency_tag_756,0.18
mds_quality_code_430,Rating Cycle 2 Health Deficiency Score,-0.18
deficiency_tag_656,health_inspection_rating_5,-0.18
deficiency_tag_760,deficiency_tag_607,0.18
severity_code_F,health_inspection_rating_4,-0.18
Rating Cycle 3 Health Deficiency Score,deficiency_tag_623,0.18
deficiency_tag_883,deficiency_tag_756,0.18
short_stay_quality_rating_5,short_stay_quality_rating_1,-0.18
deficiency_tag_803,Rating Cycle 1 Total Health Score,0.18
deficiency_tag_580,deficiency_tag_693,0.18
deficiency_tag_656,dollars_per_fine_count,0.18
deficiency_tag_584,deficiency_tag_693,0.18
deficiency_tag_686,Rating Cycle 3 Number of Health Revisits,0.18
severity_code_F,deficiency_tag_561,0.18
deficiency_tag_842,deficiency_tag_607,0.18
mds_quality_code_415,health_inspection_rating_1,-0.18
mds_quality_code_454,severity_code_G,-0.18
deficiency_tag_610,deficiency_tag_761,0.18
short_stay_quality_rating_1,short_stay_quality_rating_3,-0.18
dollars_per_fine_count,deficiency_tag_692,0.18
deficiency_tag_677,deficiency_tag_625,0.18
severity_code_J,health_inspection_rating_4,-0.18
Rating Cycle 1 Total Health Score,deficiency_tag_758,0.18
deficiency_tag_761,deficiency_tag_919,0.18
Rating Cycle 3 Health Revisit Score,deficiency_tag_686,0.18
severity_code_E,deficiency_tag_554,0.18
deficiency_tag_812,deficiency_tag_623,0.18
deficiency_tag_804,deficiency_tag_755,0.18
deficiency_tag_727,deficiency_tag_609,0.18
deficiency_tag_677,deficiency_tag_676,0.18
deficiency_tag_757,deficiency_tag_695,0.18
Rating Cycle 3 Health Deficiency Score,deficiency_tag_756,0.18
deficiency_tag_600,deficiency_tag_688,0.18
Rating Cycle 2 Health Deficiency Score,deficiency_tag_867,0.18
deficiency_tag_677,health_inspection_rating_4,-0.18
Rating Cycle 2 Total Health Score,severity_code_H,0.18
Rating Cycle 1 Number of Standard Health Deficiencies,deficiency_tag_806,0.18
provider_medicare,health_inspection_rating_5,0.18
health_inspection_rating_4,abuse_icon,-0.18
deficiency_tag_677,deficiency_tag_623,0.18
Total Number of Penalties,Number of administrators who have left the nursing home,0.18
deficiency_tag_625,deficiency_tag_655,0.18
mds_quality_code_454,health_inspection_rating_1,-0.18
deficiency_tag_550,deficiency_tag_561,0.18
mds_quality_code_430,Rating Cycle 1 Number of Complaint Health Deficiencies,-0.18
Rating Cycle 3 Health Deficiency Score,deficiency_tag_625,0.18
severity_code_F,health_inspection_rating_5,-0.18
Rating Cycle 1 Health Revisit Score,severity_code_G,0.18
Rating Cycle 2 Total Health Score,mds_quality_code_430,-0.18
provider_medicare,short_stay_quality_rating_5,0.18
Rating Cycle 2 Total Health Score,deficiency_tag_693,0.18
deficiency_tag_677,deficiency_tag_732,0.18
deficiency_tag_693,deficiency_tag_759,0.18
deficiency_tag_803,Rating Cycle 1 Number of Complaint Health Deficiencies,0.18
deficiency_tag_921,deficiency_tag_600,0.18
deficiency_tag_726,Total Amount of Fines in Dollars,0.18
Number of Payment Denials,deficiency_tag_812,0.18
provider_medicare_and_medicaid,health_inspection_rating_5,-0.18
severity_code_D,Number of administrators who have left the nursing home,0.18
deficiency_tag_726,deficiency_tag_657,0.18
deficiency_tag_726,deficiency_tag_580,0.18
deficiency_tag_726,deficiency_tag_609,0.18
deficiency_tag_760,deficiency_tag_693,0.18
deficiency_tag_727,Total Number of Penalties,0.18
deficiency_tag_880,severity_code_C,0.18
deficiency_tag_584,abuse_icon,0.18
Total Amount of Fines in Dollars,deficiency_tag_812,0.18
Rating Cycle 3 Health Deficiency Score,deficiency_tag_585,0.18
long_stay_quality_rating_5,mds_quality_code_480,-0.18
short_stay_quality_rating_5,short_stay_quality_rating_2,-0.18
long_stay_quality_rating_2,long_stay_quality_rating_1,-0.18
Number of Citations from Infection Control Inspections,Number of Payment Denials,0.18
deficiency_tag_803,deficiency_tag_686,0.18
deficiency_tag_803,Number of Payment Denials,0.18
Rating Cycle 1 Total Number of Health Deficiencies,deficiency_tag_554,0.18
Rating Cycle 2 Number of Health Revisits,deficiency_tag_684,0.18
deficiency_tag_726,deficiency_tag_812,0.18
Number of Citations from Infection Control Inspections,deficiency_tag_684,0.18
deficiency_tag_585,deficiency_tag_657,0.18
deficiency_tag_692,Rating Cycle 3 Number of Health Revisits,0.18
quality_rating_5,mds_quality_code_407,-0.18
deficiency_tag_880,Rating Cycle 3 Number of Health Revisits,0.18
deficiency_tag_757,deficiency_tag_690,0.18
Rating Cycle 2 Number of Complaint Health Deficiencies,health_inspection_rating_5,-0.18
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_578,0.18
short_stay_quality_rating_3,short_stay_quality_rating_2,-0.18
deficiency_tag_812,deficiency_tag_725,0.18
deficiency_tag_925,Rating Cycle 1 Number of Standard Health Deficiencies,0.18
Total Amount of Fines in Dollars,deficiency_tag_693,0.18
deficiency_tag_550,deficiency_tag_908,0.18
severity_code_F,abuse_icon,0.18
Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 3 Number of Health Revisits,0.18
Rating Cycle 2 Number of Health Revisits,Rating Cycle 1 Health Deficiency Score,0.18
severity_code_F,deficiency_tag_726,0.18
deficiency_tag_584,health_inspection_rating_4,-0.18
deficiency_tag_803,deficiency_tag_558,0.18
Number of Substantiated Complaints,deficiency_tag_883,0.18
deficiency_tag_609,deficiency_tag_698,0.18
severity_code_K,Number of Payment Denials,0.18
deficiency_tag_760,severity_code_J,0.18
deficiency_tag_755,deficiency_tag_657,0.18
deficiency_tag_655,deficiency_tag_578,0.18
Rating Cycle 3 Health Deficiency Score,deficiency_tag_806,0.18
deficiency_tag_921,deficiency_tag_842,0.18
severity_code_K,special_focus_status_sff,0.18
severity_code_J,deficiency_tag_725,0.18
Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 2 Number of Health Revisits,0.18
Rating Cycle 1 Total Health Score,Number of administrators who have left the nursing home,0.18
deficiency_tag_600,special_focus_status_sff,0.18
deficiency_tag_761,deficiency_tag_688,0.18
Rating Cycle 3 Number of Standard Health Deficiencies,deficiency_tag_554,0.18
deficiency_tag_758,deficiency_tag_759,0.18
Number of Substantiated Complaints,deficiency_tag_727,0.18
Rating Cycle 2 Number of Health Revisits,severity_code_G,0.18
deficiency_tag_698,deficiency_tag_578,0.18
long_stay_quality_rating_1,long_stay_quality_rating_3,-0.18
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_700,0.18
deficiency_tag_550,Total Number of Penalties,0.18
deficiency_tag_657,Rating Cycle 2 Number of Complaint Health Deficiencies,0.18
Total Amount of Fines in Dollars,mds_quality_code_415,-0.18
deficiency_tag_585,Rating Cycle 3 Total Health Score,0.18
Number of Substantiated Complaints,deficiency_tag_554,0.18
Rating Cycle 2 Number of Standard Health Deficiencies,deficiency_tag_583,0.18
deficiency_tag_585,deficiency_tag_760,0.18
ownership_non_profit_corporation,Rating Cycle 1 Total Number of Health Deficiencies,-0.18
Rating Cycle 2 Health Deficiency Score,deficiency_tag_578,0.18
deficiency_tag_842,deficiency_tag_725,0.18
deficiency_tag_732,Rating Cycle 2 Number of Complaint Health Deficiencies,0.18
deficiency_tag_919,Rating Cycle 3 Total Health Score,0.18
deficiency_tag_695,deficiency_tag_732,0.18
mds_quality_code_430,mds_quality_code_408,-0.18
severity_code_G,deficiency_tag_698,0.18
deficiency_tag_655,deficiency_tag_812,0.18
deficiency_tag_919,Rating Cycle 3 Number of Standard Health Deficiencies,0.18
deficiency_tag_908,deficiency_tag_689,0.18
Total Amount of Fines in Dollars,Rating Cycle 3 Number of Health Revisits,0.18
Rating Cycle 2 Health Revisit Score,deficiency_tag_610,0.18
Rating Cycle 1 Health Deficiency Score,deficiency_tag_679,0.18
deficiency_tag_658,deficiency_tag_578,0.18
deficiency_tag_636,deficiency_tag_867,0.18
deficiency_tag_658,deficiency_tag_607,0.18
deficiency_tag_625,deficiency_tag_584,0.18
deficiency_tag_921,mds_quality_code_430,-0.18
deficiency_tag_585,deficiency_tag_550,0.18
deficiency_tag_610,mds_quality_code_430,-0.18
deficiency_tag_610,deficiency_tag_688,0.18
Rating Cycle 3 Number of Complaint Health Deficiencies,deficiency_tag_623,0.18
Rating Cycle 1 Health Deficiency Score,deficiency_tag_658,0.18
Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Health Revisits,0.18
deficiency_tag_657,Rating Cycle 2 Health Deficiency Score,0.18
deficiency_tag_645,Rating Cycle 1 Number of Standard Health Deficiencies,0.18
severity_code_G,Rating Cycle 3 Number of Health Revisits,0.18
Rating Cycle 1 Number of Standard Health Deficiencies,deficiency_tag_554,0.18
Rating Cycle 2 Number of Complaint Health Deficiencies,deficiency_tag_658,0.18
deficiency_tag_761,Number of Payment Denials,0.18
Rating Cycle 3 Total Number of Health Deficiencies,deficiency_tag_636,0.18
Rating Cycle 1 Number of Health Revisits,special_focus_status_sff_candidate,0.18
Rating Cycle 2 Health Revisit Score,deficiency_tag_677,0.18
deficiency_tag_645,Rating Cycle 1 Total Number of Health Deficiencies,0.18
deficiency_tag_583,deficiency_tag_558,0.18
deficiency_tag_806,Rating Cycle 3 Total Health Score,0.18
deficiency_tag_921,Number of Payment Denials,0.18
Number of Payment Denials,Rating Cycle 3 Number of Health Revisits,0.18
deficiency_tag_727,severity_code_D,0.18
health_inspection_rating_3,abuse_icon,-0.18
Rating Cycle 2 Total Health Score,deficiency_tag_758,0.18
deficiency_tag_625,Rating Cycle 3 Total Health Score,0.18
health_inspection_rating_1,deficiency_tag_623,0.18
deficiency_tag_755,deficiency_tag_578,0.18
mds_quality_code_454,deficiency_tag_600,-0.18
deficiency_tag_880,deficiency_tag_806,0.18
mds_quality_code_430,Rating Cycle 1 Number of Standard Health Deficiencies,-0.18
deficiency_tag_803,deficiency_tag_609,0.18
deficiency_tag_625,deficiency_tag_607,0.18
deficiency_tag_921,deficiency_tag_692,0.18
Rating Cycle 1 Total Health Score,deficiency_tag_867,0.18
deficiency_tag_550,mds_quality_code_408,0.18
deficiency_tag_676,Rating Cycle 1 Number of Standard Health Deficiencies,0.18
Rating Cycle 3 Health Revisit Score,deficiency_tag_692,0.18
deficiency_tag_679,deficiency_tag_725,0.18
abuse_icon,deficiency_tag_607,0.18
deficiency_tag_726,deficiency_tag_684,0.18
deficiency_tag_695,deficiency_tag_806,0.18
deficiency_tag_761,deficiency_tag_806,0.18
deficiency_tag_558,deficiency_tag_578,0.18
deficiency_tag_908,deficiency_tag_814,0.18
deficiency_tag_583,deficiency_tag_689,0.18
deficiency_tag_583,Rating Cycle 1 Total Number of Health Deficiencies,0.18
deficiency_tag_695,deficiency_tag_600,0.18
Rating Cycle 1 Number of Health Revisits,Total Amount of Fines in Dollars,0.18
deficiency_tag_686,deficiency_tag_806,0.18
dollars_per_fine_count,deficiency_tag_725,0.18
Rating Cycle 1 Health Deficiency Score,deficiency_tag_698,0.18
deficiency_tag_658,deficiency_tag_609,0.18
deficiency_tag_803,deficiency_tag_690,0.18
deficiency_tag_921,deficiency_tag_679,0.18
deficiency_tag_921,severity_code_G,0.18
deficiency_tag_756,deficiency_tag_686,0.18
Rating Cycle 3 Number of Complaint Health Deficiencies,health_inspection_rating_4,-0.18
severity_code_C,Rating Cycle 1 Number of Standard Health Deficiencies,0.18
deficiency_tag_697,deficiency_tag_676,0.18
deficiency_tag_755,dollars_per_fine_count,0.18
deficiency_tag_919,deficiency_tag_812,0.18
health_inspection_rating_4,severity_code_G,-0.18
deficiency_tag_690,mds_quality_code_472,-0.18
deficiency_tag_656,deficiency_tag_756,0.18
deficiency_tag_677,severity_code_C,0.18
deficiency_tag_732,deficiency_tag_623,0.18
Rating Cycle 2 Total Number of Health Deficiencies,mds_quality_code_408,0.18
deficiency_tag_883,Rating Cycle 2 Health Deficiency Score,0.18
Total Number of Penalties,deficiency_tag_725,0.18
Rating Cycle 2 Number of Standard Health Deficiencies,ownership_non_profit_corporation,-0.18
deficiency_tag_558,health_inspection_rating_1,0.18
deficiency_tag_580,severity_code_C,0.18
claims_quality_code_551,short_stay_quality_rating_1,0.18
deficiency_tag_726,severity_code_G,0.18
deficiency_tag_585,deficiency_tag_880,0.18
deficiency_tag_677,deficiency_tag_806,0.18
deficiency_tag_689,deficiency_tag_604,0.18
deficiency_tag_679,deficiency_tag_684,0.18
deficiency_tag_607,deficiency_tag_759,0.18
severity_code_B,Rating Cycle 3 Number of Standard Health Deficiencies,0.18
Rating Cycle 2 Health Revisit Score,Total Number of Penalties,0.18
deficiency_tag_641,deficiency_tag_761,0.18
Rating Cycle 1 Health Deficiency Score,deficiency_tag_623,0.18
Rating Cycle 1 Total Health Score,deficiency_tag_658,0.18
deficiency_tag_761,deficiency_tag_881,0.18
health_inspection_rating_5,health_inspection_rating_1,-0.18
deficiency_tag_657,deficiency_tag_679,0.18
Rating Cycle 2 Health Deficiency Score,deficiency_tag_758,0.18
deficiency_tag_580,deficiency_tag_578,0.17
deficiency_tag_580,deficiency_tag_658,0.17
deficiency_tag_756,deficiency_tag_689,0.17
deficiency_tag_657,deficiency_tag_867,0.17
deficiency_tag_756,deficiency_tag_881,0.17
deficiency_tag_580,mds_quality_code_472,-0.17
deficiency_tag_880,Rating Cycle 2 Number of Health Revisits,0.17
deficiency_tag_760,mds_quality_code_472,-0.17
mds_quality_code_454,deficiency_tag_692,-0.17
quality_rating_1,long_stay_quality_rating_4,-0.17
Rating Cycle 3 Total Number of Health Deficiencies,special_focus_status_sff_candidate,0.17
deficiency_tag_732,Rating Cycle 1 Health Deficiency Score,0.17
deficiency_tag_732,deficiency_tag_758,0.17
Rating Cycle 2 Total Health Score,deficiency_tag_657,0.17
deficiency_tag_921,Rating Cycle 1 Total Health Score,0.17
Rating Cycle 1 Number of Complaint Health Deficiencies,deficiency_tag_806,0.17
deficiency_tag_921,deficiency_tag_656,0.17
deficiency_tag_761,deficiency_tag_623,0.17
deficiency_tag_698,deficiency_tag_688,0.17
Rating Cycle 1 Number of Health Revisits,deficiency_tag_812,0.17
severity_code_F,deficiency_tag_645,0.17
deficiency_tag_757,deficiency_tag_698,0.17
deficiency_tag_689,deficiency_tag_679,0.17
